Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,TCC_EA_RDREQ_32B_sum,TCC_EA_RDREQ_sum,TCC_EA_WRREQ_sum,TCC_EA_WRREQ_64B_sum,DispatchNs,BeginNs,EndNs,CompleteNs
38,"jai_halo_z_kernel_ccb89300_device.kd",0,0,48,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da80c600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892568659939,2433892566352067,2433892568763907,2433892568764956
39,"jai_tend_z_kernel_f4c1ba00_device.kd",0,0,49,51902,51902,5100,1,0,0,40,0,48,64,0x0,0x7f81da388700,0,0,0,0,0,0,0,0,453900,224400,892500,107100,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892576585482,2433892568763907,2433892576732070,2433892576733550
40,"jai_tend_z_calc_kernel_3f2cf200_device.kd",0,0,50,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f82da804680,0,0,0,0,0,0,0,0,20000,20000,125000,20000,0,0,0,0,0.0000000000,9.0000000000,0.0000000000,0.0000000000,2433892581046179,2433892576732070,2433892581191271,2433892581192354
41,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,51,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892586156676,2433892581191271,2433892586303912,2433892586305445
42,"jai_tend_x_kernel_2bdfba00_device.kd",0,0,53,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f83019d86c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2683.0000000000,2529.0000000000,2524.0000000000,2433892682668958,2433892586303756,2433892682852743,2433892682859666
43,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,54,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2544.0000000000,0.0000000000,0.0000000000,2433892686233021,2433892682852743,2433892686365864,2433892686367523
44,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,55,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,2510.0000000000,0.0000000000,0.0000000000,2433892691369797,2433892686365864,2433892691519465,2433892691520841
45,"jai_tend_x_kernel_ee17c700_device.kd",0,0,57,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2684.0000000000,2529.0000000000,2524.0000000000,2433892709198367,2433892691519465,2433892709350030,2433892709351154
46,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,58,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892712671900,2433892709350030,2433892712821071,2433892712822854
47,"jai_tend_apply_kernel_d7ff7600_device.kd",0,0,59,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82fb708700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5110.0000000000,0.0000000000,0.0000000000,2433892717788229,2433892712821071,2433892717935473,2433892717936627
48,"jai_tend_x_kernel_ee17c700_device.kd",0,0,61,51902,51902,5050,1,0,0,44,4,48,64,0x0,0x7f82fb6dc6c0,0,0,0,0,0,0,0,0,444400,222200,883750,106050,0,0,0,0,0.0000000000,2623.0000000000,2529.0000000000,2524.0000000000,2433892735597092,2433892717935473,2433892735752278,2433892735753896
49,"jai_tend_x_calc_kernel_fa76b200_device.kd",0,0,62,51902,51902,20000,1,0,0,12,4,32,64,0x0,0x7f83019d4640,0,0,0,0,0,0,0,0,20000,20000,120000,20000,0,0,0,0,0.0000000000,2538.0000000000,0.0000000000,0.0000000000,2433892739046530,2433892735752278,2433892739175479,2433892739176924
50,"jai_tend_apply_kernel_9c75d800_device.kd",0,0,63,51902,51902,20000,1,0,0,4,4,32,64,0x0,0x7f82da8b6700,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0.0000000000,5115.0000000000,0.0000000000,0.0000000000,2433892744209245,2433892739175479,2433892744365560,2433892744366981
51,"jai_halo_z_kernel_fde85300_device.kd",0,0,64,51902,51902,416,1,0,0,16,0,32,64,0x0,0x7f82da89e600,0,0,0,0,0,0,0,0,0,832,2496,416,0,0,0,0,0.0000000000,11.0000000000,0.0000000000,0.0000000000,2433892746668763,2433892744365759,2433892746773279,2433892746778800
